"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Overall impression? (1 .. 10),10,8,8,8,8,7,9,8,6,8,10,8,8,8,7,9,9,7,8,9,6,8,8,7,7,6,7,7
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",yes,yes,yes,n/a,yes,n/a,yes,yes,n/a,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,7,7,7,8,7,8,7,6,8,9,7,7,8,7,8,8,6,7,8,5,8,7,8,8,6,7,7
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Usability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is there a getting started tutorial? (yes, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is there a user manual? (yes, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are expected user characteristics documented? (yes, no)",no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"Community forum (community.gazebosim.org), GitHub Issues, comprehensive documentation site (gazebosim.org/docs), ROS Answers integration","Robotics StackExchange (webots tag), GitHub Discussions, GitHub Issues for bug reports, Discord for quick questions, comprehensive documentation site","PyBullet forum (pybullet.org/Bullet/phpBB3/), GitHub Issues, PyBullet Quickstart Guide, online API documentation","Official forum (forum.coppeliarobotics.com), comprehensive User Manual included in download, tutorial series on official website, API documentation online","GitHub Issues for bug reports and feature requests, GitHub Discussions for questions, comprehensive documentation at mujoco.readthedocs.io","ODE mailing list (ode-users@ode.org), official wiki/documentation at ode.org, Bitbucket issue tracker","Discourse forum (discourse.ros.org), GitHub Issues per repository, ROS Answers Q&A site (answers.ros.org), ROS-Industrial community, ROSCon annual conference, official documentation at docs.ros.org","GitHub Issues (rdiankov/openrave), openrave-users mailing list, openrave.org documentation wiki, Stack Overflow (openrave tag)",GitHub Discussions for questions/comments; GitHub Issues for bugs or documentation issues; NVIDIA Omniverse #physics Discord channel.,GitHub Discussions for questions; GitHub Issues for reports; AirSim Facebook Group; repository has an announced archive/migration path to Project AirSim.,"GitHub Issues (RobotLocomotion/drake), Drake Slack workspace, drake-users mailing list, documentation at drake.mit.edu, Underactuated Robotics online textbook (Russ Tedrake)","DART Forum (discourse-based, forum.dartsim.org), GitHub Issues, documentation at dartsim.github.io, Stack Overflow (dart-simulator tag)","GitHub Issues, CARLA Discord server, documentation at carla.readthedocs.io, CARLA CVPR challenge community, mailing list",No active maintenance expected; historical morse-users and morse-dev mailing lists plus GitHub issue tracker remain documented.,"SimTK.org forum (simbody project page), GitHub Issues, documentation at simbody.github.io, OpenSim forum for users accessing Simbody through OpenSim","GitHub Issues, ompl-users Google Group mailing list, documentation at ompl.kavrakilab.org, Stack Overflow (ompl tag)","GitHub Issues, GitHub Discussions (Q&A), documentation at stack-of-tasks.github.io/pinocchio, examples directory in repository","orocos.org mailing list, GitHub Issues, Stack Overflow (orocos tag), ROS Answers for KDL questions","SOFA community forum (sofa-framework.org/community/forum), GitHub Issues, documentation at sofa-framework.org/community/doc, annual SOFA Week conference","GitHub Discussions, GitHub Issues, ROS Discourse (moveit category), annual World MoveIt Day, Discord server, documentation at moveit.ai","GitHub Issues, graspit-users mailing list (Google Groups), user manual documentation at graspit-simulator.github.io","GitHub Issues, GitHub Discussions, aihabitat.org documentation, AI Habitat Discord server, mailing list","projectchrono.org forum, GitHub Issues, GitHub Discussions, Discord server (Project Chrono community)","GitHub Issues, GitHub Discussions, uzh-rpg.github.io/flightmare documentation","GitHub Issues, Google Groups mailing list (mrpt-users), mrpt.org documentation, ROS Answers for ROS integration questions","GitHub Issues (JulioJerez/newton-dynamics), newtondynamics.com forum (historical), GitHub Discussions","GitHub Issues, yarp.it documentation mailing list, RobotCub community forum, IIT Robotics GitHub Discussions","openrtm.org forum (Japanese and English), GitHub Issues (OpenRTM/OpenRTM-aist), AIST mailing list for commercial inquiries"
Overall impression? (1 .. 10),10,8,7,7,8,6,9,8,7,8,9,7,8,8,7,8,8,6,6,9,5,8,7,6,7,5,7,6
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Maintainability ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the current version number? (number),gz-sim10_10.0.0,R2025a,3.25,coppeliasim-v4.10.0-rev0,3.8.1,0.16.6,release-jazzy-20260128,v0.9.0,ovphysx-0.3.7,v1.8.1-windows,v1.52.1,v6.16.7,0.9.16,1.4,Simbody-3.8,2.0.0,v4.0.0,1.5.3,v25.12.00,kilted-2.14.3,4.0,v0.3.3,10.0.0,0.0.5,2.15.17,"v4,03",v3.12.2,v2.0.2
"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes,"yes (GitHub pull request workflow, contribution guidelines, code of conduct documented)",yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string","yes (configuration, data/configuration, documentation, images, other .apt, other .bash, other .bazel, other .blend)","yes (configuration, data/configuration, documentation, images, other .a, other .ac, other .applications, other .bin)","yes (configuration, data/configuration, documentation, images, notebooks, other .a, other .am, other .bin)","yes (documentation, images, other .pri, other .pro, other .qrc, other .qss, other .tga, other .ui)","yes (configuration, data/configuration, documentation, images, notebooks, other .asmdef, other .html, other .icns)","yes (data/configuration, documentation, images, other .ac, other .am, other .bin, other .cpp_deprecated, other .csproj)","yes (configuration, data/configuration, documentation, other .repos)","yes (configuration, data/configuration, documentation, images, other .apache, other .bash, other .cmakein, other .csproj)","yes (configuration, data/configuration, documentation, images, other .3, other .c++, other .cal, other .cmd)","yes (configuration, data/configuration, documentation, images, other .asset, other .cmd, other .config, other .csproj)","yes (configuration, data/configuration, documentation, images, notebooks, other .base64, other .bazel, other .bin)","yes (configuration, data/configuration, documentation, images, other .bib, other .cff, other .dae, other .dof)","yes (configuration, data/configuration, documentation, images, other .in, other .rviz, other .sublime-project, other .uasset)","yes (data/configuration, documentation, other .bash, other .blend, other .cof, other .dae, other .dox, other .fed)","yes (data/configuration, documentation, other .dll, other .in, other .inc, other .lib, other .vtp)","yes (configuration, data/configuration, documentation, other .blend, other .cff, other .db, other .in, other .ppm)","yes (configuration, data/configuration, documentation, notebooks, other .bib, other .cff, other .imp, other .lock)","yes (data/configuration, documentation, other .debian, other .ex, other .in, other .inl, other .install)","yes (configuration, data/configuration, documentation, images, other .args, other .avi, other .awk, other .bmp)","yes (configuration, data/configuration, documentation, images, other .cff, other .dae, other .dcf, other .df)","yes (data/configuration, documentation, images, other .9, other .ac, other .am, other .def, other .diz)","yes (configuration, data/configuration, documentation, images, notebooks, other .bin, other .exr, other .frag)","yes (configuration, data/configuration, documentation, images, other .adm, other .bazel, other .bin, other .blend)","yes (data/configuration, documentation, other .launch, other .ply, other .rviz, other .zip)","yes (configuration, data/configuration, documentation, images, other .3dscene, other .asian, other .avi, other .bdf)","yes (configuration, data/configuration, documentation, images, other .1, other .3, other .686, other .ac)","yes (configuration, data/configuration, documentation, images, other .ac, other .am, other .as, other .asd)","yes (configuration, data/configuration, documentation, images, other .am, other .autotestin, other .autotestout, other .bmp)"
"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git,git (GitHub Issues),git,git (GitHub Issues) and discussion board (official forum),git (GitHub Issues),BitBucket (issue tracker on bitbucket.org/odedevs/ode),git (GitHub Issues across ros2 organization repositories),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues — now archived and read-only),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues — no longer monitored),git (GitHub Issues) and SimTK.org tracker,git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues and historical orocos.org tracker),git (GitHub Issues),git (GitHub Issues and GitHub Projects),git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues),git (GitHub Issues; previously SourceForge and AIST Trac)
What is the percentage of identified issues that are closed? (percentage),56.66%,87.94%,87.25%,95.45%,91.65%,n/a,86.23%,42.91%,67.86%,80.01%,89.98%,100.00%,81.95%,77.63%,59.48%,93.18%,92.31%,77.98%,64.09%,80.53%,56.58%,75.71%,96.79%,34.64%,95.36%,100.00%,82.27%,81.38%
What percentage of code is comments? (percentage),11.90%,1.93%,2.75%,5.09%,6.67%,18.80%,0.00%,19.21%,17.25%,10.26%,20.48%,9.18%,9.44%,2.67%,25.27%,27.42%,11.93%,27.98%,4.45%,26.12%,2.05%,7.74%,1.12%,20.10%,9.43%,15.69%,15.08%,26.34%
"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github,Github,git,Github,Github,other and github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github
Overall impression? (1 .. 10),10,8,7,7,8,6,9,8,8,8,9,8,8,8,7,8,9,6,7,9,4,8,8,4,8,5,8,7
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reusability ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many code files are there? ( (0-9=0,1043,3728,3124,699,1271,628,0,2191,4201,697,4079,1671,1205,476,980,889,1266,221,3863,1602,941,547,4587,118,2316,7823,5059,887
"Is API documented? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,8,8,8,9,7,9,7,8,8,8,8,8,5,7,9,9,7,7,9,5,8,7,6,8,6,7,6
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consistent indentation and formatting style? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Explicit identification of a coding standard? (yes∗, no, n/a)",yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes
"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",yes,yes (some magic constants appear in sampled source files),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Parameters are in the same order for all functions? (yes, no∗ , n/a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is code modularized? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,7,7,7,8,7,8,8,8,7,8,7,7,6,7,9,8,6,7,9,5,8,7,6,8,6,7,7
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)",yes (CONTRIBUTING.md references contribution guide; CODE_OF_CONDUCT.md present; CI workflows; dependabot.yml),"yes (GitHub Actions CI, pull request templates, contributing guidelines)",yes (CI via GitHub Actions and Appveyor; unit tests),unclear,"yes (GitHub Actions CI, CONTRIBUTING.md)",unclear,"yes (GitHub Actions CI, release workflows)",yes (CI via GitHub Actions and Travis CI),"yes (CONTRIBUTING.md, .github/PULL_REQUEST_TEMPLATE.md, .github/ISSUE_TEMPLATE/Bug_report.md)","yes (GitHub CI/CD, PR templates, contributing guides, issue templates)","yes (CI, contributing guide, release notes, development environment docs)","yes (CONTRIBUTING.md, PR templates, CI workflows)","yes (CI/CD via GitHub Actions, .github/workflows; contributing guidelines in Docs/cont_contribution_guidelines.md; PR templates)","yes (CI, contributing guide, release notes)","yes (CONTRIBUTING.md describes PR process, CI)",unclear,"yes (CI workflows, pull request template, contributing guide)","yes (CI workflow, issue/PR tracking via GitHub, versioning in CHANGELOG.md)","yes (CI, pull requests, contribution guidelines, weekly meetings)","yes (CI, contributing guidelines, Dockerfiles, release notes)","yes (CI with Travis, unit tests)","yes (CONTRIBUTING.md describes developer workflow, PR process, squash-and-merge policy, versioning, and release workflow)","yes (GitHub PR templates, CI via appveyor.yml, contribution guidelines)","yes (CI via GitHub Actions, clang-format enforcement)","yes (CI, contributing guidelines, PR templates)","yes (CI via .github/workflows/build.yml, unit tests present)","yes (CI workflows, contributing guidelines, release notes)","yes (CI via GitHub Actions and Azure Pipelines, contribution guidelines, issue templates)"
"Are there any documents recording the development process and status? (yes∗, no))",yes,"yes (GitHub Issues, pull requests, release notes)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is the development environment documented? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are there release notes? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,8,7,7,8,7,9,7,8,7,9,7,8,5,7,9,8,6,7,9,5,8,8,5,8,5,8,7
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of text-based files. (number),1765,7968,7199,792,1697,825,9,2408,4662,1121,5415,2216,1394,660,1061,991,1376,261,6086,1909,1565,737,6932,174,3104,14973,7084,1339
Number of binary files. (number),210,5045,404,384,222,37,0,198,412,307,119,182,694,179,71,64,14,0,272,53,46,177,470,17,277,949,194,72
Number of total lines in text-based files. (number),704551,5807729,5800901,393418,853330,261421,898,1037215,1674661,323113,1279946,1048599,446586,188141,566852,197139,309989,38757,3208935,325191,1999723,607014,23075273,28497,1740910,3943927,1626315,442186
Number of total lines added to text-based files. (number),1460745,8927865,11620265,1003913,1498261,616487,1827,4459995,1812909,1056100,4685178,6785123,1464322,481358,1951862,784466,1062645,99790,12488014,1184445,6430308,797978,38256197,53434,5298467,27988293,3731066,1436631
Number of total lines deleted from text-based files. (number),691522,1563916,4994397,610501,645190,354833,929,2102355,169215,2009354,3514310,3860964,1018371,293968,936540,585248,744820,63100,13558561,872945,4274633,190949,13377128,24749,3562567,20598562,2112561,985384
Number of total commits. (number),7500,15746,9405,1206,4676,2119,309,10375,40,3562,34786,6727,6713,4356,5041,5341,13081,1229,27404,9462,733,1664,19510,139,10231,17755,19020,4360
Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),"[475, 321, 290, 250, 81]","[1027, 608, 221, 53, 16]","[152, 8, 6, 5, 0]","[158, 251, 163, 166, 165]","[491, 840, 1244, 1315, 781]","[6, 9, 8, 10, 5]","[12, 9, 13, 31, 14]","[683, 889, 383, 0, 0]","[6, 8, 9, 14, 3]","[238, 0, 0, 1, 1]","[1713, 1618, 1247, 1251, 481]","[43, 7, 291, 394, 257]","[385, 269, 471, 113, 35]","[1, 0, 0, 0, 0]","[48, 13, 45, 25, 6]","[30, 68, 23, 298, 201]","[898, 556, 1743, 2343, 843]","[48, 14, 12, 22, 2]","[840, 409, 389, 338, 188]","[476, 331, 193, 117, 5]","[0, 0, 0, 0, 0]","[225, 162, 99, 19, 25]","[1216, 1294, 1386, 1236, 604]","[0, 1, 0, 0, 0]","[514, 437, 346, 130, 299]","[1774, 1441, 1193, 2722, 1142]","[336, 508, 262, 442, 82]","[221, 59, 69, 72, 40]"
Numbers of commits by month in the last 12 months. (list of numbers),"[15, 24, 40, 17, 16, 21, 11, 17, 27, 19, 9, 9]","[4, 9, 10, 0, 0, 2, 0, 0, 9, 3, 3, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[21, 19, 1, 8, 12, 39, 16, 8, 32, 43, 66, 16]","[74, 138, 111, 88, 140, 176, 115, 144, 203, 183, 177, 74]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0]","[3, 2, 0, 2, 7, 1, 4, 2, 1, 2, 9, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 2, 0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[82, 84, 80, 131, 162, 79, 79, 76, 102, 119, 150, 34]","[4, 8, 22, 4, 44, 199, 63, 140, 19, 4, 5, 89]","[7, 1, 16, 5, 18, 18, 2, 3, 2, 6, 20, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5, 0, 2, 1, 0, 2, 3, 1, 0, 0]","[28, 0, 54, 3, 12, 0, 124, 41, 22, 83, 47, 8]","[90, 141, 49, 87, 108, 167, 302, 155, 280, 248, 154, 6]","[0, 1, 3, 1, 6, 1, 6, 0, 1, 0, 0, 1]","[24, 30, 10, 25, 25, 25, 33, 34, 45, 83, 19, 7]","[9, 2, 1, 1, 5, 18, 14, 1, 0, 4, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3, 20, 0, 0, 2]","[52, 72, 93, 140, 155, 103, 103, 139, 134, 178, 104, 49]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 10, 5, 9, 21, 26, 73, 81, 100, 39, 6]","[339, 273, 204, 380, 284, 290, 242, 221, 199, 350, 300, 72]","[27, 57, 57, 27, 14, 33, 20, 36, 25, 13, 8, 0]","[4, 6, 0, 18, 10, 7, 6, 0, 0, 26, 9, 5]"
Number of text-based files. (number),1765,7968,7199,792,1697,825,9,2408,4662,1121,5415,2216,1394,660,1061,991,1376,261,6086,1909,1565,737,6932,174,3104,14973,7084,1339
Number of total lines in text-based files. (number),704551,5807729,5800901,393418,853330,261421,898,1037215,1674661,323113,1279946,1048599,446586,188141,566852,197139,309989,38757,3208935,325191,1999723,607014,23075273,28497,1740910,3943927,1626315,442186
Number of code lines in text-based files. (number),193808,581442,1528236,292460,349490,147055,0,623306,1030524,134331,705686,339389,138801,141241,259447,105532,185472,18063,349961,159789,110614,143150,657303,14543,504916,1585430,843982,86965
Number of comment lines in text-based files. (number),83838,111823,159696,20041,56931,49139,0,199238,288836,33157,262117,96300,42167,5031,143248,54061,36989,10846,142879,84925,41081,46973,257698,5728,164109,618822,245304,116467
Number of blank lines in text-based files. (number),77856,148374,141325,27296,69694,43690,46,119056,259366,27023,155749,89220,44368,14882,65921,28650,40738,5795,130580,35753,26833,34157,657827,5414,97621,379306,206650,31291
Number of stars. (number),1337,4345,14465,146,13440,n/a,5475,801,4532,18159,4025,1081,13941,367,2521,2047,3354,879,1194,1803,213,3662,2836,1353,2133,24,590,24
Number of forks. (number),411,2025,3074,46,1501,n/a,903,355,614,4889,1366,300,4559,156,492,690,537,443,352,744,86,530,595,400,658,5,214,14
Number of people watching this repo. (number),22,76,403,9,128,n/a,241,71,61,573,168,52,260,34,141,39,66,44,54,47,13,79,110,34,108,2,56,9
Number of open pull requests. (number),92,6,153,0,181,n/a,4,45,7,44,26,0,42,6,22,26,9,12,98,78,3,55,3,11,0,0,15,1
Number of closed pull requests. (number),2358,4694,1778,5,364,n/a,615,985,46,869,17715,1889,2197,383,484,427,1428,282,3999,2201,108,1715,352,26,752,252,1906,795
